epoch,loss,test_loss(cost),wight,n_grad
21, 911.2533183216443, 1275.1666693352502, [-0.06729791 13.18961958 -0.30853815], [-11.58866189  46.41311837   2.42364673]
22, 964.7072201309794, 1243.1715994546819, [-0.16789025 13.73917789 -0.32924166], [-10.05923463  54.95583106  -2.07035119]
23, 885.0602717455836, 1219.192322632202, [-0.15678907 14.16068966 -0.35455223], [ 1.11011853 42.15117627 -2.53105716]
24, 747.8329730735086, 1196.5072217940306, [-0.35274514 14.55921528 -0.3944285 ], [-19.59560709  39.85256248  -3.98762644]
25, 783.7368079938377, 1170.7605085198886, [-0.29716834 15.02737394 -0.39572798], [ 5.55768001 46.81586595 -0.12994818]
26, 894.7122565753265, 1144.5013544046938, [-0.41867689 15.50743625 -0.46290117], [-12.15085506  48.006231    -6.7173193 ]
27, 1534.0150819766643, 1102.3670576134816, [-0.43916694 16.30003364 -0.65673078], [ -2.04900506  79.2597391  -19.38296085]
28, 709.6878491350267, 1087.765744722843, [-0.44274932 16.58149247 -0.66152182], [-0.35823767 28.14588294 -0.47910433]
29, 1311.2313650203268, 1049.127361456722, [-0.47268001 17.3419785  -0.59743549], [-2.99306893 76.04860252  6.40863371]
30, 674.4755626757197, 1033.9834498044997, [-0.45539885 17.64582998 -0.67270339], [ 1.72811569 30.3851486  -7.5267901 ]
31, 808.5277905929461, 1015.9980701674234, [-0.3942075  18.01332988 -0.69165274], [ 6.11913484 36.74998966 -1.89493569]
32, 891.078121666706, 996.5687399706845, [-0.40109925 18.41742522 -0.50164834], [-0.68917527 40.40953377 19.00044005]
33, 889.8680589019723, 972.6360041538989, [-0.42692737 18.9206918  -0.55633676], [-2.58281113 50.32665836 -5.4688412 ]
34, 788.9961995338085, 955.1236281128431, [-0.45994543 19.29510531 -0.66855286], [ -3.30180616  37.44135134 -11.22161027]
35, 550.8779165321503, 941.151755419247, [-0.43699679 19.59965904 -0.75860975], [ 2.2948638  30.45537274 -9.00568892]
36, 710.6201039375986, 920.368087002189, [-0.38614386 20.06163213 -0.71295257], [ 5.08529271 46.19730919  4.56571755]
37, 884.2311340434085, 902.3908380177406, [-0.3662344  20.46887536 -0.62269729], [ 1.9909467  40.72432302  9.02552793]
38, 819.667101816873, 879.8368574529454, [-0.36370042 20.98927913 -0.64607678], [ 0.25339726 52.04037648 -2.33794878]
39, 792.1913847015473, 859.5117737299015, [-0.35645618 21.46932925 -0.69613175], [ 0.72442436 48.00501182 -5.00549712]
40, 534.2720173079883, 851.2731658860903, [-0.45278471 21.66562827 -0.6275445 ], [-9.63285283 19.6299021   6.85872567]
41, 823.9297380447729, 836.6326759504014, [-0.42764707 22.0219581  -0.6843794 ], [ 2.51376351 35.63298343 -5.68349063]
42, 667.2118611251905, 825.5433088646417, [-0.42928414 22.2958667  -0.76834429], [-0.16370659 27.39086027 -8.39648846]
43, 882.2569390898668, 805.1104043728086, [-0.56468342 22.80922949 -0.84781171], [-13.53992835  51.33627887  -7.94674228]
44, 623.643122492393, 791.9000759072368, [-0.56185301 23.15008729 -0.9113489 ], [ 0.28304155 34.08578004 -6.3537192 ]
45, 577.5381024850985, 781.0381287194227, [-0.57337636 23.4348004  -0.94886093], [-1.15233571 28.47131088 -3.75120261]
46, 773.9610427914585, 773.5190483572069, [-0.52607317 23.63441492 -0.92718806], [ 4.73031968 19.961452    2.16728657]
47, 357.86597266856865, 767.42452597125, [-0.50986572 23.79705594 -0.865009  ], [ 1.62074482 16.2641022   6.21790604]
48, 510.1437814220219, 759.037743570532, [-0.43539966 24.02534401 -0.90390086], [ 7.44660552 22.82880615 -3.88918571]
